 &plot nbnd=  13, nks=   201 /
   -8.567   -8.460   -8.448   -8.426   -8.413   -3.860   -0.184    2.773    3.321   10.372
   10.988   11.585   12.557
           -0.500000  0.050000  0.950000
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.847   -0.195    2.802    3.257   10.447
   11.004   11.543   12.464
           -0.500000  0.037500  0.962500
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.837   -0.203    2.834    3.199   10.519
   11.000   11.523   12.385
           -0.500000  0.025000  0.975000
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.829   -0.210    2.866    3.147   10.583
   10.978   11.520   12.322
           -0.500000  0.012500  0.987500
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.825   -0.213    2.895    3.107   10.632
   10.951   11.525   12.280
           -0.500000 -0.000000  1.000000
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.823   -0.215    2.907    3.091   10.651
   10.938   11.528   12.266
           -0.506250 -0.000000  0.993750
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.824   -0.215    2.905    3.093   10.645
   10.933   11.536   12.271
           -0.512500 -0.000000  0.987500
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.824   -0.214    2.901    3.100   10.626
   10.920   11.559   12.284
           -0.518750 -0.000000  0.981250
   -8.568   -8.460   -8.447   -8.426   -8.413   -3.825   -0.214    2.894    3.112   10.590
   10.906   11.595   12.304
           -0.525000 -0.000000  0.975000
   -8.568   -8.459   -8.447   -8.426   -8.413   -3.826   -0.214    2.885    3.127   10.538
   10.895   11.640   12.330
           -0.531250 -0.000000  0.968750
   -8.568   -8.459   -8.447   -8.426   -8.413   -3.828   -0.213    2.875    3.146   10.473
   10.887   11.692   12.362
           -0.537500 -0.000000  0.962500
   -8.568   -8.459   -8.447   -8.426   -8.413   -3.830   -0.213    2.863    3.168   10.398
   10.883   11.749   12.398
           -0.543750 -0.000000  0.956250
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.832   -0.212    2.851    3.192   10.316
   10.879   11.810   12.439
           -0.550000 -0.000000  0.950000
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.834   -0.211    2.838    3.218   10.230
   10.877   11.873   12.483
           -0.556250 -0.000000  0.943750
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.837   -0.211    2.826    3.245   10.141
   10.875   11.939   12.531
           -0.562500 -0.000000  0.937500
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.840   -0.210    2.813    3.275   10.049
   10.872   12.006   12.581
           -0.568750 -0.000000  0.931250
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.842   -0.210    2.800    3.305    9.957
   10.869   12.075   12.633
           -0.575000 -0.000000  0.925000
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.845   -0.209    2.788    3.337    9.865
   10.866   12.146   12.688
           -0.581250 -0.000000  0.918750
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.848   -0.209    2.775    3.370    9.772
   10.863   12.217   12.744
           -0.587500 -0.000000  0.912500
   -8.568   -8.459   -8.447   -8.427   -8.412   -3.852   -0.208    2.763    3.404    9.681
   10.859   12.289   12.802
           -0.593750 -0.000000  0.906250
   -8.568   -8.459   -8.448   -8.427   -8.412   -3.855   -0.208    2.752    3.439    9.590
   10.855   12.362   12.861
           -0.600000 -0.000000  0.900000
   -8.568   -8.458   -8.448   -8.427   -8.412   -3.858   -0.208    2.740    3.475    9.500
   10.851   12.436   12.921
           -0.606250 -0.000000  0.893750
   -8.569   -8.458   -8.448   -8.427   -8.412   -3.861   -0.208    2.729    3.511    9.412
   10.847   12.510   12.982
           -0.612500 -0.000000  0.887500
   -8.569   -8.458   -8.448   -8.427   -8.412   -3.865   -0.207    2.719    3.547    9.325
   10.842   12.585   13.043
           -0.618750 -0.000000  0.881250
   -8.569   -8.458   -8.448   -8.427   -8.412   -3.868   -0.207    2.708    3.584    9.240
   10.838   12.661   13.105
           -0.625000 -0.000000  0.875000
   -8.569   -8.458   -8.448   -8.428   -8.412   -3.871   -0.207    2.699    3.621    9.157
   10.833   12.737   13.167
           -0.631250 -0.000000  0.868750
   -8.569   -8.458   -8.448   -8.428   -8.411   -3.874   -0.207    2.689    3.658    9.076
   10.829   12.813   13.229
           -0.637500 -0.000000  0.862500
   -8.569   -8.457   -8.448   -8.428   -8.411   -3.877   -0.207    2.680    3.694    8.997
   10.824   12.890   13.290
           -0.643750 -0.000000  0.856250
   -8.569   -8.457   -8.448   -8.428   -8.411   -3.880   -0.207    2.672    3.731    8.921
   10.819   12.967   13.351
           -0.650000 -0.000000  0.850000
   -8.569   -8.457   -8.448   -8.428   -8.411   -3.883   -0.207    2.664    3.766    8.848
   10.815   13.044   13.412
           -0.656250 -0.000000  0.843750
   -8.569   -8.457   -8.448   -8.428   -8.411   -3.886   -0.208    2.656    3.801    8.778
   10.811   13.121   13.471
           -0.662500 -0.000000  0.837500
   -8.569   -8.457   -8.449   -8.428   -8.411   -3.889   -0.208    2.649    3.836    8.711
   10.807   13.198   13.530
           -0.668750 -0.000000  0.831250
   -8.569   -8.457   -8.449   -8.428   -8.411   -3.891   -0.208    2.642    3.869    8.648
   10.803   13.276   13.586
           -0.675000 -0.000000  0.825000
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.894   -0.208    2.636    3.900    8.588
   10.799   13.353   13.641
           -0.681250 -0.000000  0.818750
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.896   -0.208    2.630    3.931    8.531
   10.796   13.429   13.694
           -0.687500 -0.000000  0.812500
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.898   -0.208    2.625    3.959    8.479
   10.793   13.505   13.745
           -0.693750 -0.000000  0.806250
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.900   -0.209    2.620    3.986    8.431
   10.790   13.580   13.793
           -0.700000 -0.000000  0.800000
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.901   -0.209    2.616    4.010    8.387
   10.787   13.653   13.839
           -0.706250 -0.000000  0.793750
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.903   -0.209    2.612    4.032    8.348
   10.785   13.724   13.882
           -0.712500 -0.000000  0.787500
   -8.569   -8.456   -8.449   -8.428   -8.411   -3.904   -0.209    2.609    4.052    8.314
   10.783   13.791   13.922
           -0.718750 -0.000000  0.781250
   -8.569   -8.455   -8.449   -8.428   -8.411   -3.905   -0.209    2.606    4.069    8.285
   10.781   13.851   13.962
           -0.725000 -0.000000  0.775000
   -8.569   -8.455   -8.449   -8.429   -8.411   -3.906   -0.209    2.604    4.083    8.261
   10.779   13.900   14.002
           -0.731250 -0.000000  0.768750
   -8.569   -8.455   -8.449   -8.429   -8.411   -3.907   -0.210    2.602    4.094    8.242
   10.778   13.937   14.043
           -0.737500 -0.000000  0.762500
   -8.569   -8.455   -8.450   -8.429   -8.411   -3.908   -0.210    2.601    4.102    8.228
   10.777   13.961   14.081
           -0.743750 -0.000000  0.756250
   -8.569   -8.455   -8.450   -8.429   -8.411   -3.908   -0.210    2.600    4.106    8.220
   10.777   13.975   14.108
           -0.750000  0.000000  0.750000
   -8.569   -8.455   -8.450   -8.429   -8.411   -3.908   -0.210    2.600    4.108    8.217
   10.777   13.979   14.118
           -0.731250  0.000000  0.731250
   -8.568   -8.456   -8.450   -8.427   -8.411   -3.929   -0.181    2.551    4.167    8.271
   11.086   13.849   13.923
           -0.712500  0.000000  0.712500
   -8.567   -8.457   -8.451   -8.426   -8.412   -3.956   -0.148    2.516    4.229    8.327
   11.379   13.730   13.747
           -0.693750  0.000000  0.693750
   -8.565   -8.458   -8.452   -8.425   -8.413   -3.989   -0.111    2.497    4.295    8.384
   11.640   13.539   13.676
           -0.675000  0.000000  0.675000
   -8.564   -8.459   -8.453   -8.424   -8.413   -4.028   -0.067    2.492    4.363    8.443
   11.848   13.352   13.612
           -0.656250  0.000000  0.656250
   -8.563   -8.460   -8.454   -8.423   -8.414   -4.073   -0.018    2.502    4.434    8.501
   11.987   13.168   13.474
           -0.637500  0.000000  0.637500
   -8.561   -8.461   -8.455   -8.422   -8.415   -4.124    0.039    2.526    4.507    8.559
   12.052   12.989   13.287
           -0.618750  0.000000  0.618750
   -8.560   -8.462   -8.457   -8.421   -8.415   -4.182    0.104    2.563    4.583    8.615
   12.059   12.813   13.090
           -0.600000  0.000000  0.600000
   -8.558   -8.463   -8.458   -8.420   -8.416   -4.245    0.177    2.613    4.660    8.669
   12.029   12.642   12.893
           -0.581250  0.000000  0.581250
   -8.557   -8.463   -8.459   -8.419   -8.416   -4.314    0.258    2.675    4.739    8.719
   11.980   12.476   12.700
           -0.562500  0.000000  0.562500
   -8.555   -8.464   -8.460   -8.418   -8.417   -4.387    0.349    2.748    4.819    8.765
   11.923   12.315   12.513
           -0.543750  0.000000  0.543750
   -8.553   -8.464   -8.461   -8.418   -8.417   -4.465    0.450    2.831    4.899    8.804
   11.865   12.159   12.333
           -0.525000  0.000000  0.525000
   -8.551   -8.465   -8.463   -8.418   -8.417   -4.546    0.559    2.924    4.980    8.835
   11.809   12.008   12.163
           -0.506250  0.000000  0.506250
   -8.549   -8.466   -8.464   -8.418   -8.417   -4.630    0.678    3.026    5.062    8.859
   11.751   11.862   12.008
           -0.487500  0.000000  0.487500
   -8.547   -8.466   -8.465   -8.419   -8.416   -4.715    0.806    3.136    5.142    8.872
   11.676   11.722   11.886
           -0.468750  0.000000  0.468750
   -8.545   -8.467   -8.466   -8.419   -8.416   -4.802    0.942    3.254    5.222    8.876
   11.568   11.587   11.816
           -0.450000  0.000000  0.450000
   -8.543   -8.467   -8.467   -8.419   -8.415   -4.890    1.088    3.378    5.301    8.870
   11.436   11.458   11.786
           -0.431250  0.000000  0.431250
   -8.540   -8.469   -8.468   -8.419   -8.415   -4.978    1.242    3.509    5.378    8.854
   11.298   11.333   11.778
           -0.412500  0.000000  0.412500
   -8.538   -8.470   -8.469   -8.419   -8.415   -5.065    1.404    3.646    5.454    8.829
   11.163   11.215   11.781
           -0.393750  0.000000  0.393750
